epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1753.32,1.39061,0.89433,1.44061,0.87085,0.83973,0.90399,0.41237,1.8983,0.94333,1.80598,0.000808828,0.000808828,0.000808828
106,1769.96,1.46436,0.91171,1.48708,0.8828,0.82523,0.90733,0.43002,1.82651,0.96703,1.73473,0.000800577,0.000800577,0.000800577
107,1786.61,1.4315,0.92812,1.47596,0.8811,0.81546,0.91838,0.419,1.81777,0.9774,1.75721,0.000792325,0.000792325,0.000792325
108,1803.29,1.43282,0.9239,1.48318,0.84493,0.84934,0.90111,0.40038,1.9243,1.012,1.80739,0.000784073,0.000784073,0.000784073
109,1819.97,1.42166,0.93737,1.4725,0.86769,0.853,0.91292,0.41916,1.84086,0.95844,1.75534,0.000775822,0.000775822,0.000775822
110,1836.74,1.40055,0.94676,1.45154,0.84849,0.85461,0.9076,0.41432,1.83287,1.02632,1.75902,0.00076757,0.00076757,0.00076757
111,1853.39,1.42367,0.95112,1.46711,0.86708,0.83316,0.91587,0.42868,1.84485,0.9673,1.75222,0.000759318,0.000759318,0.000759318
112,1870.06,1.4451,0.95649,1.48756,0.87783,0.85,0.91287,0.41535,1.84222,0.94412,1.76184,0.000751067,0.000751067,0.000751067
113,1886.69,1.39233,0.91668,1.46452,0.87338,0.78562,0.89187,0.41955,1.89924,1.05484,1.77722,0.000742815,0.000742815,0.000742815
114,1903.32,1.37759,0.9201,1.4488,0.87276,0.83553,0.9017,0.42783,1.84178,1.03313,1.77419,0.000734564,0.000734564,0.000734564
115,1920,1.38832,0.89878,1.44994,0.85662,0.83669,0.89157,0.41473,1.86853,1.02955,1.76655,0.000726312,0.000726312,0.000726312
116,1936.63,1.39014,0.92064,1.44513,0.84951,0.8512,0.89636,0.42138,1.86334,1.00439,1.79227,0.00071806,0.00071806,0.00071806
117,1953.31,1.38419,0.91753,1.44366,0.85952,0.87347,0.90592,0.4274,1.8472,0.93266,1.79115,0.000709809,0.000709809,0.000709809
118,1969.97,1.39267,0.88052,1.45467,0.90771,0.87915,0.93566,0.43225,1.84929,0.90149,1.77363,0.000701557,0.000701557,0.000701557
119,1986.6,1.41581,0.9194,1.46767,0.88365,0.90176,0.93575,0.43089,1.84605,0.90605,1.78554,0.000693305,0.000693305,0.000693305
120,2003.3,1.39635,0.89536,1.43992,0.88344,0.8723,0.9294,0.43166,1.87245,0.93107,1.77337,0.000685054,0.000685054,0.000685054
121,2019.92,1.36495,0.89393,1.42945,0.87577,0.85552,0.90022,0.41259,1.90195,0.95087,1.79593,0.000676802,0.000676802,0.000676802
122,2036.58,1.38328,0.89533,1.46091,0.88474,0.88061,0.91444,0.4147,1.83542,0.94686,1.82237,0.00066855,0.00066855,0.00066855
123,2053.28,1.40375,0.9011,1.456,0.84961,0.86147,0.90629,0.43062,1.83691,1.0007,1.77631,0.000660299,0.000660299,0.000660299
124,2069.98,1.37903,0.8858,1.44737,0.89056,0.88336,0.91763,0.41266,1.86892,0.97156,1.81362,0.000652047,0.000652047,0.000652047
125,2086.62,1.36713,0.86973,1.43597,0.91415,0.87349,0.92416,0.42522,1.84933,0.92155,1.75447,0.000643795,0.000643795,0.000643795
126,2103.29,1.33884,0.85527,1.41415,0.88011,0.87517,0.92329,0.41061,1.90314,0.93865,1.79034,0.000635544,0.000635544,0.000635544
127,2119.98,1.34612,0.84272,1.43135,0.8908,0.8584,0.92769,0.42037,1.89343,0.93188,1.7945,0.000627292,0.000627292,0.000627292
128,2136.62,1.3496,0.85914,1.42117,0.86855,0.88499,0.91792,0.41286,1.86307,0.89817,1.78882,0.00061904,0.00061904,0.00061904
129,2153.26,1.3587,0.88972,1.42655,0.85995,0.84038,0.90067,0.42429,1.85549,0.9556,1.78134,0.000610789,0.000610789,0.000610789
130,2170.01,1.35504,0.87378,1.42253,0.87806,0.86326,0.91624,0.42296,1.87336,0.98507,1.78667,0.000602537,0.000602537,0.000602537
131,2186.62,1.34881,0.85812,1.43121,0.88586,0.8743,0.92638,0.40331,1.8876,0.89489,1.82546,0.000594286,0.000594286,0.000594286
132,2203.31,1.34969,0.83918,1.42143,0.8665,0.85203,0.92662,0.42465,1.88565,0.92943,1.81654,0.000586034,0.000586034,0.000586034
133,2219.94,1.34387,0.84254,1.4168,0.85458,0.86304,0.93663,0.43236,1.88224,0.91217,1.81395,0.000577782,0.000577782,0.000577782
134,2236.62,1.33295,0.87702,1.4319,0.84063,0.85802,0.91648,0.42174,1.88705,0.91826,1.85347,0.000569531,0.000569531,0.000569531
135,2253.3,1.34433,0.85608,1.42889,0.88003,0.83635,0.90396,0.41462,1.9208,0.92002,1.85253,0.000561279,0.000561279,0.000561279
136,2269.92,1.30247,0.81282,1.38797,0.88743,0.87804,0.93156,0.42571,1.8866,0.90118,1.81613,0.000553027,0.000553027,0.000553027
137,2286.58,1.29542,0.84187,1.39419,0.91023,0.8375,0.91206,0.41802,1.86362,0.9142,1.82882,0.000544776,0.000544776,0.000544776
138,2303.26,1.34971,0.86729,1.43007,0.84635,0.86396,0.89378,0.39823,1.89871,0.94427,1.84358,0.000536524,0.000536524,0.000536524
139,2320.01,1.35891,0.85501,1.43194,0.87191,0.877,0.90848,0.40556,1.90776,0.88411,1.87927,0.000528272,0.000528272,0.000528272
140,2336.68,1.3411,0.84293,1.41448,0.82996,0.8751,0.91175,0.39778,1.92662,0.92415,1.85439,0.000520021,0.000520021,0.000520021
141,2353.32,1.33448,0.79695,1.41785,0.8783,0.83663,0.91317,0.40828,1.95875,0.90002,1.88023,0.000511769,0.000511769,0.000511769
142,2369.94,1.30274,0.81018,1.38174,0.89261,0.85947,0.92743,0.41056,1.93175,0.86715,1.90719,0.000503517,0.000503517,0.000503517
143,2386.51,1.29558,0.7948,1.38136,0.89163,0.84407,0.93108,0.42075,1.88773,0.87824,1.85044,0.000495266,0.000495266,0.000495266
144,2403.17,1.3242,0.81344,1.42003,0.8778,0.86903,0.9186,0.41392,1.92701,0.87933,1.8708,0.000487014,0.000487014,0.000487014
145,2419.93,1.33216,0.82251,1.41544,0.8491,0.85141,0.89648,0.39372,1.98574,0.9952,1.89718,0.000478762,0.000478762,0.000478762
146,2436.6,1.31889,0.83594,1.42267,0.86757,0.8316,0.90113,0.39235,1.92979,0.94777,1.85825,0.000470511,0.000470511,0.000470511
147,2453.28,1.29116,0.83645,1.39372,0.88213,0.84038,0.90926,0.4138,1.91049,0.93533,1.81355,0.000462259,0.000462259,0.000462259
148,2469.98,1.29915,0.81214,1.40601,0.87814,0.85471,0.90656,0.41064,1.91653,0.88512,1.84468,0.000454007,0.000454007,0.000454007
